Model;Constraint;NumExperts;Position;RunPath;Filename
Residual;kl;4;2;lukas-struppek/final_resnet_18/dmc5hf2b;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_2_final.tar
Residual;kl;4;3;lukas-struppek/final_resnet_18/hcldtmj7;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_0_final.tar
Residual;kl;4;3;lukas-struppek/final_resnet_18/3wyujkx5;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_1_final.tar
Residual;kl;4;3;lukas-struppek/final_resnet_18/3c51f3ge;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_2_final.tar
Residual;kl;4;4;lukas-struppek/final_resnet_18/2wb6k7ji;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_0_final.tar
Residual;kl;4;4;lukas-struppek/final_resnet_18/3sgtr658;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_1_final.tar
Residual;kl;4;4;lukas-struppek/final_resnet_18/1o2ah89l;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=4_2_final.tar
Residual;importance;10;1;lukas-struppek/final_resnet_18/1f3ot3bh;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=1_0_final.tar
Residual;importance;10;1;lukas-struppek/final_resnet_18/tyly117x;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=1_1_final.tar
Residual;importance;10;1;lukas-struppek/final_resnet_18/2pisjcou;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=1_2_final.tar
Residual;importance;10;2;lukas-struppek/final_resnet_18/2zz6h3q8;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=2_0_final.tar
Residual;importance;10;2;lukas-struppek/final_resnet_18/3f9be446;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=2_1_final.tar
Residual;importance;10;2;lukas-struppek/final_resnet_18/1mghnosv;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=2_2_final.tar
Residual;importance;10;3;lukas-struppek/final_resnet_18/33gho34i;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=3_0_final.tar
Residual;importance;10;3;lukas-struppek/final_resnet_18/9pw0qm32;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=3_1_final.tar
Residual;importance;10;3;lukas-struppek/final_resnet_18/1kvs87ku;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=3_2_final.tar
Residual;importance;10;4;lukas-struppek/final_resnet_18/168cupz1;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=4_0_final.tar
Residual;importance;10;4;lukas-struppek/final_resnet_18/12i7b0n4;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=4_1_final.tar
Residual;importance;10;4;lukas-struppek/final_resnet_18/10avjn0a;Residual_10_topK=2_loss=importance_w_aux=0.5_moePosition=4_2_final.tar
Residual;kl;10;1;lukas-struppek/final_resnet_18/2t8zv47q;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_0_final.tar
Residual;kl;10;1;lukas-struppek/final_resnet_18/201mewd0;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_1_final.tar
Residual;kl;10;1;lukas-struppek/final_resnet_18/uu3bj2fq;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_2_final.tar
Residual;kl;10;2;lukas-struppek/final_resnet_18/2dr4wprw;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_0_final.tar
Residual;kl;10;2;lukas-struppek/final_resnet_18/u6wj42b3;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_1_final.tar
Residual;kl;10;2;lukas-struppek/final_resnet_18/1hujlgkh;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_2_final.tar
Residual;kl;10;3;lukas-struppek/final_resnet_18/d7dd9opq;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_0_final.tar
Residual;kl;10;3;lukas-struppek/final_resnet_18/1yre4qw7;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_1_final.tar
Residual;kl;10;3;lukas-struppek/final_resnet_18/3hpou2rw;Residual_10_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=3_2_final.tar
